fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_sum_hessian_in_leaf	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	feature_fraction	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241010.143515	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	74	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.148234708214195	2691	9331	19.4930862560437	1.36849994992403	3.4274869614028	2725	1	12198665.8354115	12198665.8354115	41
20241010.143534	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	55	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.14988058120363	6115	9336	116.513148738434	58.8420916051303	3.04595963630045	2073	1	11275862.8428928	11275862.8428928	42
20241010.143553	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	70	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.141927249076789	796	11806	1.2098926038158	2.09876269636601	13.6340861710227	2277	1	11846206.9825436	11846206.9825436	43
20241010.143613	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	91	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.133122633860717	2336	16527	1.0075369860274	1.0136214624176	5.52455039319945	2678	1	11706448.8778055	11706448.8778055	44
20241010.143636	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	165	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.122742000036609	1319	11727	1.19436495720493	2.10623496837919	1.32909250310242	1970	1	12296184.5386534	12296184.5386534	45
20241010.143656	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	56	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.137645917749741	11	6212	2.39826343945507	4.29378467135803	6.17676308583694	2092	1	11909536.159601	11909536.159601	46
20241010.143719	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	138	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.112413718897209	8175	68	4.36226913438951	931.761749074734	3.01167920651183	3567	1	10853513.7157107	10853513.7157107	47
20241010.143744	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	243	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.137662879799478	485	10520	1.64931076736362	302.376993191441	1.1541914502142	2478	1	12024553.6159601	12024553.6159601	48
20241010.143802	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	12	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.149833901154533	1062	48	553.351640608412	2.5401831047474	5.62577325262455	2428	1	11069117.2069825	11069117.2069825	49
20241010.143819	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	20	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.149819982209251	8189	72	999.100190181564	677.895896999925	8.33844698758187	2400	1	10459152.1197007	10459152.1197007	50
20241010.143837	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	44	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.125684784678772	24	4729	997.614588057408	1.71711101323146	0.0131540581100756	3219	1	10369533.6658354	10369533.6658354	51
20241010.143856	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	34	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.143384295644713	7826	2398	1.20856753330993	5.30283547371175	11.2448499055501	3367	1	11601044.8877805	11601044.8877805	52
20241010.143917	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	119	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.122448394890582	1905	10748	1.03455925706513	84.3506562347096	4.28803471409513	2730	1	11857780.5486284	11857780.5486284	53
20241010.143941	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	94	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.148712749130497	404	1978	1.17869627046478	138.150784241228	0.0476798112015335	2326	1	11852423.9401496	11852423.9401496	54
20241010.144003	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	118	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.120064150384464	8183	13181	2.79930992683928	4.02552195800064	4.05286518846203	2401	1	11806975.0623441	11806975.0623441	55
20241010.144032	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	251	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0318954903104829	7744	8269	5.75597715070487	1.12793171573371	11.1000535889434	2568	1	12042433.915212	12042433.915212	56
20241010.144059	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	19	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.02070871404292	7759	79	5.28637552578923	4.5309200737094	2.60315361729667	2752	1	11644548.6284289	11644548.6284289	57
20241010.144126	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	32	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0202518842955314	266	11	961.564036271663	6.71000174811188	19.9818827817622	2836	1	10467561.0972569	10467561.0972569	58
20241010.144148	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	47	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.144613201039252	8181	9211	3.36132706665239	2.73694861312629	19.7117443961657	2184	1	11908249.3765586	11908249.3765586	59
20241010.144214	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	18	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0334797598700233	109	11	89.5172657185367	1.72157016855758	1.0106191646419	4157	1	9169399.00249377	9169399.00249377	60
20241010.144247	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	121	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0205787419782799	8183	678	760.626354709476	299.825380021028	19.8499904268207	2826	1	10802498.7531172	10802498.7531172	61
20241010.144306	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	20	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.12633827041361	69	69	961.191549604618	801.091322273827	19.9462851969248	2171	1	10526401.4962594	10526401.4962594	62
20241010.144341	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	361	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0249732913371322	8184	4290	2.78954686056461	423.069034460647	17.1542845460801	2600	1	11420349.127182	11420349.127182	63
20241010.144401	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	71	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.149816990219934	957	7456	1.2528153364902	992.759752252825	9.28739540828753	2290	1	11644114.713217	11644114.713217	64
20241010.144420	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	59	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.141509328966482	1392	7822	1.54973326999046	545.533848244583	18.2884423179876	2297	1	11586605.9850374	11586605.9850374	65
20241010.144442	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	138	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.149826214514579	2566	24934	1.19098889067869	688.518478695621	9.32023510883706	2597	1	11069947.6309227	11069947.6309227	66
20241010.144513	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	273	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0266118113814622	2879	11780	2.99451529425098	2.29333483790551	19.2421422462815	2483	1	11734541.1471322	11734541.1471322	67
20241010.144600	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	685	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0401434492411612	1500	13259	18.342674894624	3.28870673909807	0.061063145428212	3384	1	11963311.7206983	11963311.7206983	68
20241010.144631	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	144	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0736822161478183	8178	8799	2.05227851032797	973.084265706072	19.9116658582604	2209	1	11462476.3092269	11462476.3092269	69
20241010.144745	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1124	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0212551730275499	8165	11338	1.73323553443312	845.379444692644	0.618487795919431	2200	1	12072718.2044888	12072718.2044888	70
20241010.144912	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1617	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0251713393358157	8188	8815	2.74185178681898	516.776802359625	0.452461805190184	2240	1	11864139.6508728	11864139.6508728	71
20241010.145006	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	828	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0308504261630069	2339	11403	1.60535377273828	981.897623233792	0.0452472752776622	2192	1	12197865.3366584	12197865.3366584	72
20241010.145219	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	2851	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0207766922427741	3002	11822	1.68047840613645	684.199170463757	0.780738278677573	2664	1	12084508.7281796	12084508.7281796	73
20241010.145315	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	908	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0647857976403666	2961	11820	7.14033111718626	826.075662136541	0.0224350568988675	2304	1	12111441.3965087	12111441.3965087	74
20241010.145337	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	116	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.144283200112778	7896	11986	1.06714045163321	967.172952777871	10.6227411585281	2802	1	11933850.3740648	11933850.3740648	75
20241010.145509	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1703	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0263407882498807	3678	8205	1.02654927051118	979.910466487354	0.161144703283149	2375	1	12228216.957606	12228216.957606	76
20241010.145548	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	434	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0201792290881801	2774	9428	3.61761309755381	899.737731659206	10.9979721627027	2283	1	11456835.4114713	11456835.4114713	77
20241010.145713	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	1609	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0317399870622574	4596	11468	4.15189127945811	997.5813203258	0.336303405354284	2523	1	12154690.7730673	12154690.7730673	78
20241010.145734	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	70	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.147626786967713	8171	18650	3.33980064365704	3.40829159488704	15.4135972866759	2627	1	11529374.0648379	11529374.0648379	79
20241010.145754	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	17	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0926553776707136	2903	25108	344.230989401994	3.03475795549909	10.9887192346595	2431	1	9926850.37406484	9926850.37406484	80
20241010.145812	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	18	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.14946105817987	1927	3684	3.43843893422198	5.17390660623497	19.0843185772009	2571	1	11451089.7755611	11451089.7755611	81
20241010.145840	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	225	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.0399472800774757	3277	11969	881.545086632588	999.049452144261	0.337509257661132	2477	1	10362815.4613466	10362815.4613466	82
20241010.145906	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	162	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.149410360999702	1225	3077	38.1432985591814	988.156797884753	0.0416253403189554	2584	1	11658972.5685786	11658972.5685786	83
20241010.145931	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	179	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.149925255708117	8170	17204	2.56695763287112	767.946773574482	4.91331602531392	2622	1	11600034.9127182	11600034.9127182	84
20241010.150004	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0.001	31	332	1	1	1	FALSE	1	0.1	50	0.5	0.5	FALSE	662287	0.149024044865255	1329	8188	2.00627480083108	720.318448305817	0.00293511010116507	2326	1	12151376.5586035	12151376.5586035	85
