fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	learning_rate	feature_fraction	min_data_in_leaf	seed	num_leaves	estimulos	qsemillas	ganancia	metrica	iteracion_bayesiana
20241007.163104	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	58
20241007.163131	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	59
20241007.163159	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	60
20241007.163226	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	61
20241007.163253	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	62
20241007.163320	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	63
20241007.163346	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	64
20241007.163414	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	65
20241007.163441	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	66
20241007.163507	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	67
20241007.163535	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	68
20241007.163601	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	69
20241007.163628	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	70
20241007.163655	627	60460	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	101	1	1	1	FALSE	1	0.1	50	0.5	FALSE	0.2	0.5	80	662287	69	2439	1	12058960.0997506	12058960.0997506	71
